epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,0.15628471970558167,0.3953286111354828,0.03533274680376053,0.18797005712985992
1,0.0590471550822258,0.2429962158203125,0.023662317544221878,0.15382561087608337
2,0.04332026466727257,0.2081352025270462,0.025321446359157562,0.1591271460056305
3,0.03659207001328468,0.19129054248332977,0.022572508081793785,0.15024149417877197
4,0.03199774771928787,0.17887914180755615,0.02744496427476406,0.16566520929336548
5,0.03041541762650013,0.17440015077590942,0.01976623572409153,0.14059244096279144
6,0.026021961122751236,0.1613132357597351,0.023855216801166534,0.15445134043693542
7,0.0263422429561615,0.16230294108390808,0.018345439806580544,0.13544534146785736
8,0.024262042716145515,0.15576277673244476,0.02178659290075302,0.14760281145572662
9,0.022265302017331123,0.14921562373638153,0.01772170700132847,0.13312290608882904
