epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,0.22951865196228027,0.47908103466033936,0.06562183797359467,0.25616759061813354
1,0.06157028302550316,0.2481335997581482,0.0430893748998642,0.2075798064470291
2,0.04878624528646469,0.220876082777977,0.04055061191320419,0.20137181878089905
3,0.04173186048865318,0.20428377389907837,0.02674752287566662,0.16354669630527496
4,0.03570684790611267,0.18896254897117615,0.027173962444067,0.164845272898674
5,0.028223276138305664,0.16799785196781158,0.030345425009727478,0.17419937252998352
6,0.025772882625460625,0.16053934395313263,0.026938335970044136,0.16412901878356934
7,0.022312268614768982,0.1493729203939438,0.032783783972263336,0.18106292188167572
8,0.020606350153684616,0.1435491144657135,0.03373212739825249,0.18366308510303497
9,0.020245563238859177,0.14228689670562744,0.035606324672698975,0.18869638442993164
10,0.01834961213171482,0.1354607343673706,0.03155349940061569,0.17763304710388184
11,0.01716972142457962,0.1310332864522934,0.0314793586730957,0.17742422223091125
12,0.01690520904958248,0.13002003729343414,0.03327910974621773,0.1824256181716919
13,0.015430602245032787,0.12421997636556625,0.04188631847500801,0.20466147363185883
14,0.015516103245317936,0.12456364929676056,0.026383092626929283,0.16242872178554535
15,0.01476890966296196,0.12152740359306335,0.02742139995098114,0.16559408605098724
16,0.015434212982654572,0.12423450499773026,0.032099802047014236,0.17916417121887207
17,0.012743480503559113,0.11288702487945557,0.036195214837789536,0.19025039672851562
18,0.014036735519766808,0.1184767335653305,0.034289222210645676,0.18517348170280457
19,0.011878956109285355,0.1089906245470047,0.020694168284535408,0.14385467767715454
20,0.01236166711896658,0.1111830323934555,0.028295308351516724,0.16821208596229553
21,0.012419830076396465,0.11144429445266724,0.02471676841378212,0.1572156697511673
22,0.3287580907344818,0.5733742713928223,0.31577935814857483,0.561942458152771
23,0.3184546232223511,0.5643178820610046,0.30947577953338623,0.556305468082428
24,0.3196253180503845,0.5653541684150696,0.3129154443740845,0.5593884587287903
25,0.31791776418685913,0.5638419389724731,0.3345166742801666,0.5783741474151611
26,0.31961679458618164,0.5653465986251831,0.3269699215888977,0.5718128085136414
27,0.31862586736679077,0.5644695162773132,0.32625871896743774,0.571190595626831
28,0.32008615136146545,0.5657615661621094,0.32231709361076355,0.5677297711372375
29,0.31605052947998047,0.5621837377548218,0.3185219466686249,0.56437748670578
