epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,0.1894470453262329,0.43525514006614685,0.05942928418517113,0.24378123879432678
1,0.080961674451828,0.2845376431941986,0.03907151147723198,0.19766515493392944
2,0.0679946020245552,0.2607577443122864,0.03179844841361046,0.17832119762897491
3,0.059875696897506714,0.24469511210918427,0.03424714133143425,0.1850598305463791
4,0.05464572831988335,0.23376426100730896,0.030995050445199013,0.17605410516262054
5,0.05046778917312622,0.22465035319328308,0.02739780768752098,0.16552282869815826
6,0.04635871201753616,0.215310737490654,0.023923810571432114,0.154673233628273
7,0.04225345328450203,0.2055564522743225,0.025324251502752304,0.15913596749305725
8,0.03870303928852081,0.19673088192939758,0.025455711409449577,0.15954846143722534
9,0.03621784597635269,0.19030986726284027,0.022297345101833344,0.14932295680046082
10,0.03364812210202217,0.18343424797058105,0.018469631671905518,0.1359030157327652
11,0.03155038505792618,0.17762428522109985,0.018754608929157257,0.13694746792316437
12,0.03094473108649254,0.17591114342212677,0.020256975665688515,0.14232701063156128
13,0.029490303248167038,0.17172740399837494,0.019955230876803398,0.1412629783153534
14,0.02708580531179905,0.1645776480436325,0.018782850354909897,0.1370505392551422
15,0.026287756860256195,0.16213499009609222,0.015402929857373238,0.12410853803157806
16,0.02582254819571972,0.16069395840168,0.019189637154340744,0.13852666318416595
17,0.023782771080732346,0.15421663224697113,0.016350606456398964,0.12786948680877686
18,0.02245834469795227,0.14986108243465424,0.014823353849351406,0.12175119668245316
19,0.021624470129609108,0.147052600979805,0.017373524606227875,0.13180866837501526
20,0.021063746884465218,0.14513354003429413,0.012334796600043774,0.11106212437152863
21,0.020712722092866898,0.14391915500164032,0.01306189876049757,0.11428866535425186
22,0.019736986607313156,0.1404883861541748,0.01344707515090704,0.11596152186393738
23,0.01954483799636364,0.13980284333229065,0.013297362253069878,0.11531419306993484
24,0.01853897050023079,0.13615788519382477,0.01460784301161766,0.12086290866136551
25,0.01795220747590065,0.13398584723472595,0.013882115483283997,0.11782238632440567
26,0.016826000064611435,0.12971507012844086,0.018420754000544548,0.1357230693101883
27,0.016685334965586662,0.1291717290878296,0.017945921048521996,0.13396237790584564
28,0.016284119337797165,0.1276092380285263,0.011814441531896591,0.10869425535202026
29,0.015637872740626335,0.12505148351192474,0.013116762973368168,0.11452843248844147
