epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,0.17071038484573364,0.4131711423397064,0.0689929872751236,0.26266515254974365
1,0.07412779331207275,0.2722642123699188,0.04814326390624046,0.21941573917865753
2,0.06223827973008156,0.24947601556777954,0.03425063192844391,0.1850692480802536
3,0.05449295416474342,0.23343725502490997,0.03386098891496658,0.18401356041431427
4,0.04572458565235138,0.21383307874202728,0.03272740915417671,0.18090717494487762
5,0.04009939730167389,0.2002483457326889,0.025359099730849266,0.15924541652202606
6,0.03600665181875229,0.1897541880607605,0.023583760485053062,0.1535700410604477
7,0.03169938549399376,0.1780432164669037,0.021294329315423965,0.14592576026916504
8,0.02939990721642971,0.1714640110731125,0.02606641687452793,0.16145096719264984
9,0.028021015226840973,0.16739478707313538,0.02166127786040306,0.14717769622802734
