epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,0.3368021845817566,0.5803465843200684,0.29159900546073914,0.5399990677833557
1,2.8340182304382324,1.6834542751312256,0.33493077754974365,0.5787320137023926
2,0.32099878787994385,0.5665675401687622,0.33002007007598877,0.5744737386703491
3,0.3181544542312622,0.5640518069267273,0.3152235746383667,0.5614477396011353
4,0.31895390152931213,0.5647600293159485,0.321547269821167,0.567051351070404
5,0.3176325857639313,0.5635890364646912,0.33727017045021057,0.5807496309280396
6,0.31885090470314026,0.5646688342094421,0.317670077085495,0.5636222958564758
7,0.31638848781585693,0.5624842047691345,0.3637779653072357,0.6031400561332703
8,0.31822481751441956,0.5641141533851624,0.3360144793987274,0.5796675682067871
9,0.3053387403488159,0.552574634552002,0.28038474917411804,0.5295137166976929
10,0.1805753856897354,0.42494162917137146,0.08406605571508408,0.2899414598941803
11,0.08524366468191147,0.29196515679359436,0.05472627282142639,0.23393647372722626
12,0.0743657648563385,0.27270087599754333,0.05141138657927513,0.2267407923936844
13,0.06607232987880707,0.2570453882217407,0.052326854318380356,0.22875063121318817
14,0.060558099299669266,0.2460855394601822,0.045098185539245605,0.2123633325099945
15,0.05666890740394592,0.23805232346057892,0.046240560710430145,0.21503618359565735
16,0.5473700165748596,0.739844560623169,0.35039180517196655,0.5919389724731445
17,0.32282137870788574,0.5681737065315247,0.3430936336517334,0.5857419371604919
18,0.3236082196235657,0.5688657164573669,0.3849804997444153,0.6204679608345032
19,0.3210832476615906,0.5666420459747314,0.30516317486763,0.5524157285690308
20,0.322744220495224,0.5681058168411255,0.33909982442855835,0.5823227763175964
21,0.3194584250450134,0.5652065277099609,0.314561128616333,0.5608574748039246
22,0.3209218680858612,0.566499650478363,0.3163950443267822,0.5624900460243225
23,0.32089000940322876,0.5664715766906738,0.3123323321342468,0.5588670372962952
24,0.3200990557670593,0.5657729506492615,0.32481980323791504,0.5699296593666077
25,0.3157925307750702,0.5619542002677917,0.3331795632839203,0.5772171020507812
26,0.3188692033290863,0.564685046672821,0.31101593375205994,0.5576879978179932
27,0.280378520488739,0.5295078158378601,0.12966668605804443,0.3600926101207733
28,0.1298438012599945,0.360338419675827,0.07502151280641556,0.2739005386829376
29,0.09624320268630981,0.31023088097572327,0.059489089995622635,0.24390384554862976
